text,label,source,original_label,url_present,email_present,phone_present,category,original_text,cleaned_text,client_id
"Refer to Pg 2 of todays Hindustan Times UNIVERSAL GROUP launches shops in MARKET SQUARE at Golf Course Extn Road, Gurgaon Vishal Batra Investments 9810193057",spam,mendeley_balanced_10191,spam,0,0,1,general,"Refer to Pg 2 of todays Hindustan Times UNIVERSAL GROUP launches shops in MARKET SQUARE at Golf Course Extn Road, Gurgaon Vishal Batra Investments 9810193057","Refer to Pg 2 of todays Hindustan Times UNIVERSAL GROUP launches shops in MARKET SQUARE at Golf Course Extn Road, Gurgaon Vishal Batra Investments 9810193057",
Yea in europe mariages nevr last long. They just get bord wid each otha,ham,super_sms_dataset,ham,0,0,0,general,Yea in europe mariages nevr last long. They just get bord wid each otha,Yea in europe mariages nevr last long. They just get bord wid each otha,
Need how many hours in all,ham,super_sms_dataset,ham,0,0,0,general,Need how many hours in all,Need how many hours in all,
Nt joking seriously i told,ham,uci_sms_spam,ham,0,0,0,general,Nt joking seriously i told,Nt joking seriously i told,
"There'll be a minor shindig at my place later tonight, you interested?",ham,uci_sms_spam,ham,0,0,0,general,"There'll be a minor shindig at my place later tonight, you interested?","There'll be a minor shindig at my place later tonight, you interested?",
send sms start data to  to activate your data service get  mb gg data for  days free if you sms now  hurry limited period offer,spam,super_sms_dataset,spam,0,0,0,general,send sms start data to  to activate your data service get  mb gg data for  days free if you sms now  hurry limited period offer,send sms start data to to activate your data service get mb gg data for days free if you sms now hurry limited period offer,
pay bill earn moneynow pay your vodafone bill on mpesa  earn  cashback upto rs mnth on minimum transaction of rs download app at tinyurlcomgr,spam,super_sms_dataset,spam,1,0,0,general,pay bill earn moneynow pay your vodafone bill on mpesa  earn  cashback upto rs mnth on minimum transaction of rs download app at tinyurlcomgr,pay bill earn moneynow pay your vodafone bill on mpesa earn cashback upto rs mnth on minimum transaction of rs download app at tinyurlcomgr,
"dear customer your pay2tmkyc ingest exist expired, it�s will be bl0cked within 24 hour, please contact customer! care ph� 6200992462 immediately to verify",smishing,mendeley_balanced_10191,smishing,0,0,1,bank_payment,"dear customer your pay2tmkyc ingest exist expired, it�s will be bl0cked within 24 hour, please contact customer! care ph� 6200992462 immediately to verify","dear customer your pay2tmkyc ingest exist expired, it�s will be bl0cked within 24 hour, please contact customer! care ph� 6200992462 immediately to verify",
4mths half price orange line rental & latest camera call 4 free. induce your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,spam,mendeley_balanced_10191,spam,0,0,1,general,4mths half price orange line rental & latest camera call 4 free. induce your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,4mths half price orange line rental & latest camera call 4 free. induce your phone 11mths ? call mobilesdirect free on 08000938767 to update now! or2stoptxt,
easyday price crash is backattakg pepsidewmirindalbuyget redlabel teakg surfxlkg kissanjamg rs offdove soapgtcapply,spam,super_sms_dataset,spam,0,0,0,general,easyday price crash is backattakg pepsidewmirindalbuyget redlabel teakg surfxlkg kissanjamg rs offdove soapgtcapply,easyday price crash is backattakg pepsidewmirindalbuyget redlabel teakg surfxlkg kissanjamg rs offdove soapgtcapply,
"No lah,just saying. Yeah reached my destination.",ham,super_sms_dataset,ham,0,0,0,general,"No lah,just saying. Yeah reached my destination.","No lah,just saying. Yeah reached my destination.",
Yeah I don't see why not,ham,uci_sms_spam,ham,0,0,0,general,Yeah I don't see why not,Yeah I don't see why not,
now keep track of your unbilled  due amount  bill plan  data usage and much more to download myairtel app  click httpbitlyuous,smishing,combined_labeled_dataset,smishing,0,0,0,other_smishing,now keep track of your unbilled  due amount  bill plan  data usage and much more to download myairtel app  click httpbitlyuous,now keep track of your unbilled due amount bill plan data usage and much more to download myairtel app click httpbitlyuous,
