text,cleaned_text,label,source,url_present,email_present,phone_present,category
Hmm.. Becoz i don't know which part of e video u want to show the quote leh. Haha.,Hmm.. Becoz i don't know which part of e video u want to show the quote leh. Haha.,ham,super_sms_dataset,0,0,0,general
Wah so early ah. So wat u had for lunch?,Wah so early ah. So wat u had for lunch?,ham,super_sms_dataset,0,0,0,general
Evil gf! Want to make me fat only!,Evil gf! Want to make me fat only!,ham,super_sms_dataset,0,0,0,general
LOL that one too expensive la. Send mms to malaysia eh.,LOL that one too expensive la. Send mms to malaysia eh.,ham,super_sms_dataset,0,0,0,general
Love has one law; Make happy the person you love.,Love has one law; Make happy the person you love.,ham,uci_sms_spam,0,0,0,general
Nw dnt keep me in ur mind. Beliv that he is ur man.,Nw dnt keep me in ur mind. Beliv that he is ur man.,ham,super_sms_dataset,0,0,0,general
Oh yah we never cancel leh. Haha,Oh yah we never cancel leh. Haha,ham,uci_sms_spam,0,0,0,general
Still waiting. I am the last one.,Still waiting. I am the last one.,ham,super_sms_dataset,0,0,0,general
I have good news. Call me when you are free.,I have good news. Call me when you are free.,ham,exais_sms_spam,0,0,0,general
Haha I know he will be there because he got the keys. The rest I'm not sure.,Haha I know he will be there because he got the keys. The rest I'm not sure.,ham,super_sms_dataset,0,0,0,general
get updates of your missed calls if your phone is switched off. for activation send sub to us.,get updates of your missed calls if your phone is switched off. for activation send sub to us.,spam,super_sms_dataset,0,0,0,general
buy 1 get 1 free ikall k dual sim mobile phone with fm radio camera. to order call us.,buy 1 get 1 free ikall k dual sim mobile phone with fm radio camera. to order call us.,spam,super_sms_dataset,0,0,0,general
GOOD NEWS get free 25GB Data Daily for 3 Months. Download app now and Register to activate offer.,GOOD NEWS get free 25GB Data Daily for 3 Months. Download app now and Register to activate offer.,spam,super_sms_dataset,1,0,0,general
BOLT PROMO ALERT Discounts have been added to your account. Get 20 OFF your next few rides. SMS STOP to opt out.,BOLT PROMO ALERT Discounts have been added to your account. Get 20 OFF your next few rides. SMS STOP to opt out.,spam,super_sms_dataset,0,0,1,general
Plan Sanction as per development area HI-TECH ARCHITECTS 65657777 contact@example.com,Plan Sanction as per development area HI-TECH ARCHITECTS 65657777 contact@example.com,spam,super_sms_dataset,0,1,1,general
God and men are like 2 lovers who have made a mistake on the location of their meeting place.,God and men are like 2 lovers who have made a mistake on the location of their meeting place.,spam,exais_sms_spam,0,0,0,general
sms. ac posts hello you appear cool need to say hi. hi!!! stop? send stop to 62468,sms. ac posts hello you appear cool need to say hi. hi!!! stop? send stop to 62468,spam,mendeley_balanced_10191,0,0,0,general
Your shipment to be delivered on date to your drop-off-point. Collect it here example.com/track,Your shipment to be delivered on date to your drop-off-point. Collect it here example.com/track,spam,super_sms_dataset,1,0,0,general
CHASE Alert We have noticed some unusual activity on your account. Sign-in to verify your details.,CHASE Alert We have noticed some unusual activity on your account. Sign-in to verify your details.,spam,super_sms_dataset,1,0,0,general
Earn 2.5 percent per MONTH from a low risk crypto currency fund. Reply YES for more INFO or NO to opt out.,Earn 2.5 percent per MONTH from a low risk crypto currency fund. Reply YES for more INFO or NO to opt out.,spam,super_sms_dataset,0,0,1,general
phony award - today's voda numbers constitute selected to meet a prize. if you have a match please call quoting claim code. standard rates apply.,phony award - today's voda numbers constitute selected to meet a prize. if you have a match please call quoting claim code. standard rates apply.,smishing,mendeley_balanced_10191,0,0,1,reward_prize
you have won! as a valued customer our computer has picked you to receive a prize. to claim just call us.,you have won! as a valued customer our computer has picked you to receive a prize. to claim just call us.,smishing,mendeley_balanced_10191,0,0,1,reward_prize
You are being contacted by our dating service by someone you know. To find out who it is call from your mobile.,You are being contacted by our dating service by someone you know. To find out who it is call from your mobile.,smishing,mendeley_balanced_10191,0,0,1,other_smishing
For your security we put a hold to your Membership. Verify at example-secure.com,For your security we put a hold to your Membership. Verify at example-secure.com,smishing,combined_labeled_dataset,1,0,0,other_smishing
dear customer your account kyc has been suspended. contact our office. your account will block within 24hr.,dear customer your account kyc has been suspended. contact our office. your account will block within 24hr.,smishing,mendeley_balanced_10191,0,0,1,bank_payment
We have noticed unusual activity on your bank account. Please verify immediately at secure-bank-verify.com,We have noticed unusual activity on your bank account. Please verify immediately at secure-bank-verify.com,smishing,combined_labeled_dataset,1,0,0,bank_payment
Your parcel could not be delivered. Update your delivery details now at delivery-tracking-info.com,Your parcel could not be delivered. Update your delivery details now at delivery-tracking-info.com,smishing,combined_labeled_dataset,1,0,0,delivery_package
USPS: your package is on hold. A delivery attempt was made. Schedule redelivery at usps-reschedule.com,USPS: your package is on hold. A delivery attempt was made. Schedule redelivery at usps-reschedule.com,smishing,super_sms_dataset,1,0,0,delivery_package
URGENT: Your government tax refund of amount is pending. Claim at gov-tax-refund.com by deadline.,URGENT: Your government tax refund of amount is pending. Claim at gov-tax-refund.com by deadline.,smishing,combined_labeled_dataset,1,0,0,government_tax
IRS Notice: You have an unclaimed tax refund. Please verify your information at irs-refund-portal.com,IRS Notice: You have an unclaimed tax refund. Please verify your information at irs-refund-portal.com,smishing,mendeley_balanced_10191,1,0,0,government_tax
