text,label,source,original_label,url_present,email_present,phone_present,category,original_text,cleaned_text,client_id
Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,ham,uci_sms_spam,ham,0,0,0,general,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,client_1
"G says you never answer your texts, confirm/deny",ham,uci_sms_spam,ham,0,0,0,general,"G says you never answer your texts, confirm/deny","G says you never answer your texts, confirm/deny",client_1
FOR YOUR TIME 459323558631144                    ,ham,exais_sms_spam,HAM,0,0,1,general,FOR YOUR TIME 459323558631144                    ,FOR YOUR TIME 459323558631144,client_1
todays vodafone numbers ending with 0089(my last four digits) embody choose to find a £350 award. if your number matches please bid 09063442151 to claim your £350 award,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,todays vodafone numbers ending with 0089(my last four digits) embody choose to find a £350 award. if your number matches please bid 09063442151 to claim your £350 award,todays vodafone numbers ending with 0089(my last four digits) embody choose to find a £350 award. if your number matches please bid 09063442151 to claim your £350 award,client_1
May Day is about Struggle & our struggle as a Union has brought us this far.We shall all eat fruits of our labour in good health & sound mind.Happy Workers Day!                    ,ham,exais_sms_spam,HAM,0,0,0,general,May Day is about Struggle & our struggle as a Union has brought us this far.We shall all eat fruits of our labour in good health & sound mind.Happy Workers Day!                    ,May Day is about Struggle & our struggle as a Union has brought us this far.We shall all eat fruits of our labour in good health & sound mind.Happy Workers Day!,client_1
cheer with foodpanda get rs  off on your first order use code fpnew to support the team and stand a chance to win an iphone order now  googlkltm,smishing,combined_labeled_dataset,smishing,0,0,0,reward_prize,cheer with foodpanda get rs  off on your first order use code fpnew to support the team and stand a chance to win an iphone order now  googlkltm,cheer with foodpanda get rs off on your first order use code fpnew to support the team and stand a chance to win an iphone order now googlkltm,client_1
Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,ham,uci_sms_spam,ham,0,0,0,general,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,client_1
Know what???,ham,super_sms_dataset,ham,0,0,0,general,Know what???,Know what???,client_1
Hafa Paul  abeg I need dat stuff dis morning  na 24k u go send oooo                  ,ham,exais_sms_spam,HAM,0,0,0,general,Hafa Paul  abeg I need dat stuff dis morning  na 24k u go send oooo                  ,Hafa Paul abeg I need dat stuff dis morning na 24k u go send oooo,client_1
only this month get free iphone s  apple watch night cruise trip to singapore on a new club mahindra membershipfor detail sms club to  tc apply,smishing,combined_labeled_dataset,smishing,0,0,0,reward_prize,only this month get free iphone s  apple watch night cruise trip to singapore on a new club mahindra membershipfor detail sms club to  tc apply,only this month get free iphone s apple watch night cruise trip to singapore on a new club mahindra membershipfor detail sms club to tc apply,client_1
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham,uci_sms_spam,ham,0,0,0,general,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..","Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",client_1
